dt,country,terrorism_insurgency,war_military_conflict,regional_disintegration,financial_sanctions,trade_disputes,cyber_warfare,energy_resource_conflicts,global_governance,nuclear_proliferation,territorial_disputes,other,TOTAL
01/08/2009,DE,0.429855412,0.351699883,0,0.117233294,0.117233294,0.039077765,1.016021884,0.195388824,0,0,0.429855412,2.696365768
01/09/2009,DE,0.364188164,0.6676783,0.030349014,0.060698027,0.728376328,0,0.637329287,0.637329287,0.242792109,0.091047041,0.728376328,4.188163885
01/10/2009,DE,0.729501021,0.437700613,0.175080245,0.058360082,0.204260286,0,0.408520572,0.729501021,0.145900204,0.087540123,0.729501021,3.705865188
01/11/2009,DE,0.227420403,0.844704353,0.064977258,0.064977258,0.519818064,0.032488629,0.747238467,0.747238467,0.454840806,0,0.519818064,4.223521767
01/12/2009,DE,0.43638805,0.369251427,0.637797919,0.134273246,0.268546492,0,0.335683115,0.570661296,0.167841558,0.033568312,0.503524673,3.457536086
01/01/2010,DE,0.720602686,0.687848018,0.655093351,0.13101867,0.327546675,0.327546675,0.589584016,0.687848018,0.098264003,0.098264003,0.622338683,4.945954799
01/02/2010,DE,0.219538968,0.475667764,2.854006586,0.036589828,0.439077936,0.073179656,0.402488108,0.402488108,0.292718624,0.18294914,0.622027076,6.000731797
01/03/2010,DE,0.143936668,0.467794171,3.130622526,0.107952501,0.719683339,0.071968334,0.287873336,0.791651673,0.143936668,0.287873336,0.467794171,6.621086722
01/04/2010,DE,0.08097166,1.052631579,4.210526316,0.12145749,0.566801619,0,0.688259109,0.4048583,0.16194332,0.20242915,0.526315789,8.016194332
01/05/2010,DE,0.144927536,0.289855072,5.942028986,0,0.724637681,0.144927536,0.77294686,0.821256039,0.096618357,0.048309179,1.54589372,10.53140097
01/06/2010,DE,0.184757506,0.323325635,1.43187067,0.092378753,0.600461894,0.046189376,1.616628176,0.739030023,0,0.092378753,0.739030023,5.866050808
01/07/2010,DE,0.212044105,0.466497031,0.254452926,0.169635284,0.763358779,0.127226463,1.357082273,0.508905852,0.084817642,0.127226463,0.975402884,5.046649703
01/08/2010,DE,0.090867787,0.681508405,0.227169468,0.181735575,0.181735575,0.136301681,0.772376193,0.181735575,0.136301681,0.090867787,0.681508405,3.362108133
01/09/2010,DE,0.081967213,0.573770492,0.368852459,0.204918033,0.532786885,0.081967213,0.532786885,0.368852459,0.081967213,0.204918033,0.327868852,3.360655738
01/10/2010,DE,0.038639876,0.309119011,0.772797527,0.038639876,1.081916538,0.115919629,0.540958269,0.927357032,0.231839258,0.115919629,0.42503864,4.598145286
01/11/2010,DE,0.51129101,0.468683426,2.300809544,0.127822752,1.02258202,0.127822752,0.51129101,0.852151683,0.298253089,0.170430337,0.426075841,6.817213464
01/12/2010,DE,0.175824176,0.483516484,2.901098901,0.307692308,0.351648352,0.087912088,0.747252747,0.791208791,0.21978022,0.087912088,0.791208791,6.945054945
01/01/2011,DE,0.187178287,0.046794572,1.77819373,0.374356575,0.655124006,0.046794572,0.889096865,1.02948058,0.140383715,0.327562003,0.655124006,6.13008891
01/02/2011,DE,0.220945647,0.795404331,0.927971719,0.220945647,0.486080424,0,1.590808661,1.281484755,0.044189129,0,0.530269554,6.098099867
01/03/2011,DE,0,3.041274439,1.158580739,0.724112962,0.072411296,0,2.244750181,0.724112962,0.072411296,0,1.013758146,9.05141202
01/04/2011,DE,0.18018018,0.900900901,1.711711712,0.45045045,0.45045045,0.09009009,1.621621622,0.720720721,0,0.09009009,1.081081081,7.297297297
01/05/2011,DE,0.682593857,0.682593857,3.839590444,0.341296928,0.085324232,0,0.853242321,1.365187713,0.170648464,0.170648464,0.853242321,9.044368601
01/06/2011,DE,0.417101147,0.521376434,6.986444213,0,0.417101147,0.104275287,1.564129301,0.834202294,0,0,0.834202294,11.67883212
01/07/2011,DE,0.173913043,1.304347826,5.826086957,0.260869565,0.347826087,0.086956522,1.47826087,0.173913043,0,0.086956522,1.391304348,11.13043478
01/08/2011,DE,0.374181478,0.935453695,3.461178672,0.09354537,0.280636109,0,0.748362956,1.496725912,0.280636109,0,1.683816651,9.35453695
01/09/2011,DE,0.367917586,0.147167035,6.033848418,0,0.220750552,0,1.545253863,1.177336277,0.147167035,0.294334069,0.367917586,10.30169242
01/10/2011,DE,0,0.415224913,4.91349481,0.484429066,0.484429066,0.138408304,0.415224913,0.761245675,0.069204152,0,0.899653979,8.581314879
01/11/2011,DE,0.130718954,0.130718954,4.901960784,0.588235294,0.326797386,0.065359477,0.91503268,1.503267974,0.653594771,0,0.522875817,9.738562092
01/12/2011,DE,0.075471698,0.452830189,4.528301887,0.226415094,0.981132075,0,0.528301887,2.037735849,0.301886792,0,0.226415094,9.358490566
01/01/2012,DE,0.310077519,0.542635659,3.875968992,1.007751938,0.07751938,0,0.852713178,1.317829457,0.310077519,0,0.775193798,9.069767442
01/02/2012,DE,0.134048257,0.737265416,3.351206434,0.201072386,0.469168901,0,1.072386059,1.00536193,0.536193029,0,0.402144772,7.908847185
01/03/2012,DE,0,0.129954516,1.234567901,0.32488629,0.584795322,0.064977258,0.584795322,0.779727096,0,0.064977258,0.64977258,4.418453541
01/04/2012,DE,0.312744332,0.312744332,1.016419077,0.234558249,0.703674746,0.078186083,1.720093823,0.938232995,0.312744332,0,0.390930414,6.020328382
01/05/2012,DE,0.078554595,0.314218382,3.849175177,0.078554595,0.549882168,0.078554595,0.706991359,1.571091909,0.078554595,0.078554595,0.392772977,7.776904949
01/06/2012,DE,0.078988942,0.315955766,5.60821485,0.078988942,0.473933649,0,1.263823065,1.342812006,0,0,0.315955766,9.478672986
01/07/2012,DE,0,0.72,3.2,0.16,0.64,0,0.56,0.8,0.08,0.08,0.64,6.88
01/08/2012,DE,0.077041602,0.693374422,3.543913713,0.539291217,0.231124807,0,0.770416025,0.462249615,0.154083205,0,0.61633282,7.087827427
01/09/2012,DE,0.075930144,0.303720577,2.201974184,0.303720577,0.455580866,0,0.53151101,1.138952164,0,0.455580866,0.227790433,5.69476082
